channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,15,rbf,5,5,42,1,25.5,0.29460260165946195,0.6666666666666667,0.4276346341630643
all,3.0,15,rbf,5,5,43,1,23.5,0.44135129541658846,0.6666666666666667,0.5130089810416276
all,3.0,15,rbf,5,5,44,4,16.25,0.4607672305176527,0.33333333333333337,0.499550281925493
all,3.0,15,rbf,5,5,45,1,16.0,0.5073487662737015,0.6666666666666667,0.5910077164701841
all,3.0,15,rbf,5,5,46,2,21.0,0.42957188454883966,1.0,0.5887859422744199
all,3.0,15,rbf,5,5,47,3,11.166666666666668,0.6448850953538525,0.6666666666666667,0.6887758810102595
all,3.0,15,rbf,5,5,48,1,13.5,0.5489713200964548,0.6666666666666667,0.6268189933815607
all,3.0,15,rbf,5,5,49,1,15.5,0.49666382957217303,0.6666666666666667,0.5886652481194199
all,3.0,15,rbf,5,5,50,2,22.5,0.3328431606238517,1.0,0.5314215803119259
all,3.0,15,rbf,5,5,51,3,9.916666666666668,0.667135617382248,0.6666666666666667,0.7074011420244573
all,3.0,15,rbf,10,10,42,1,25.5,0.29460260165946195,0.6666666666666667,0.4276346341630643
all,3.0,15,rbf,10,10,43,1,23.5,0.44135129541658846,0.6666666666666667,0.5130089810416276
all,3.0,15,rbf,10,10,44,4,16.25,0.4607672305176527,0.33333333333333337,0.499550281925493
all,3.0,15,rbf,10,10,45,1,16.0,0.5073487662737015,0.6666666666666667,0.5910077164701841
all,3.0,15,rbf,10,10,46,2,21.0,0.42957188454883966,1.0,0.5887859422744199
all,3.0,15,rbf,10,10,47,3,11.166666666666668,0.6448850953538525,0.6666666666666667,0.6887758810102595
all,3.0,15,rbf,10,10,48,1,13.5,0.5489713200964548,0.6666666666666667,0.6268189933815607
all,3.0,15,rbf,10,10,49,1,15.5,0.49666382957217303,0.6666666666666667,0.5886652481194199
all,3.0,15,rbf,10,10,50,2,22.5,0.3328431606238517,1.0,0.5314215803119259
all,3.0,15,rbf,10,10,51,3,9.916666666666668,0.667135617382248,0.6666666666666667,0.7074011420244573
all,3.0,15,rbf,window,15,42,1,25.5,0.29460260165946195,0.6666666666666667,0.4276346341630643
all,3.0,15,rbf,window,15,43,1,23.5,0.44135129541658846,0.6666666666666667,0.5130089810416276
all,3.0,15,rbf,window,15,44,3,13.666666666666668,0.5216979811838778,0.6666666666666667,0.6121823239252722
all,3.0,15,rbf,window,15,45,1,16.0,0.5073487662737015,0.6666666666666667,0.5910077164701841
all,3.0,15,rbf,window,15,46,2,21.0,0.42957188454883966,1.0,0.5887859422744199
all,3.0,15,rbf,window,15,47,2,7.0,0.7468511821710945,1.0,0.8314255910855473
