channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,15,rbf,5,5,42,2,9.0,0.5596213150208988,0.33333333333333337,0.5924773241771161
all,3.0,15,rbf,5,5,43,1,19.0,0.3250542236895142,0.0,0.3485271118447571
all,3.0,15,rbf,5,5,44,0,50.0,0.0,0.0,0.0
all,3.0,15,rbf,5,5,45,3,7.5,0.616514641720313,0.6666666666666667,0.6965906541934899
all,3.0,15,rbf,5,5,46,1,21.5,0.3136388788760309,0.0,0.3278194394380155
all,3.0,15,rbf,5,5,47,3,14.958333333333334,0.3674770813617029,0.6666666666666667,0.5273218740141847
all,3.0,15,rbf,5,5,48,0,50.0,0.0,0.0,0.0
all,3.0,15,rbf,5,5,49,3,11.291666666666668,0.46718006448154914,0.6666666666666667,0.5991733655741078
all,3.0,15,rbf,5,5,50,2,19.25,0.2801650505871239,0.33333333333333337,0.39124919196022856
all,3.0,15,rbf,5,5,51,2,15.5,0.3917427120997869,0.33333333333333337,0.4695380227165601
all,3.0,15,rbf,10,10,42,2,9.0,0.5596213150208988,0.33333333333333337,0.5924773241771161
all,3.0,15,rbf,10,10,43,1,19.0,0.3250542236895142,0.0,0.3485271118447571
all,3.0,15,rbf,10,10,44,0,50.0,0.0,0.0,0.0
all,3.0,15,rbf,10,10,45,3,7.5,0.616514641720313,0.6666666666666667,0.6965906541934899
all,3.0,15,rbf,10,10,46,1,21.5,0.3136388788760309,0.0,0.3278194394380155
all,3.0,15,rbf,10,10,47,3,14.958333333333334,0.3674770813617029,0.6666666666666667,0.5273218740141847
all,3.0,15,rbf,10,10,48,0,50.0,0.0,0.0,0.0
all,3.0,15,rbf,10,10,49,3,11.291666666666668,0.46718006448154914,0.6666666666666667,0.5991733655741078
all,3.0,15,rbf,10,10,50,2,19.25,0.2801650505871239,0.33333333333333337,0.39124919196022856
all,3.0,15,rbf,10,10,51,2,15.5,0.3917427120997869,0.33333333333333337,0.4695380227165601
all,3.0,15,rbf,window,15,42,2,9.0,0.5596213150208988,0.33333333333333337,0.5924773241771161
all,3.0,15,rbf,window,15,43,1,19.0,0.3250542236895142,0.0,0.3485271118447571
all,3.0,15,rbf,window,15,44,0,50.0,0.0,0.0,0.0
all,3.0,15,rbf,window,15,45,3,7.5,0.616514641720313,0.6666666666666667,0.6965906541934899
