channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
r2_resid,3.0,30,l2,window,0.7948397915093366,0.08495409949655586,0.7453462496853398,0.09812855079571955,7.416666666666666,2.9515114353643317,2.5,0.5270462766947298
all,8.0,30,l2,window,0.7921943452406024,0.06623679318390781,0.7317220238145382,0.07203628030022396,7.833333333333333,2.3959842947608694,2.4,0.5163977794943222
no_jaccard,5.0,30,l2,window,0.7921943452406024,0.06623679318390781,0.7317220238145382,0.07203628030022396,7.833333333333333,2.3959842947608694,2.4,0.5163977794943222
no_jaccard,6.0,30,l2,window,0.7921943452406024,0.06623679318390781,0.7317220238145382,0.07203628030022396,7.833333333333333,2.3959842947608694,2.4,0.5163977794943222
no_jaccard,4.0,30,l2,window,0.7921943452406024,0.06623679318390781,0.7317220238145382,0.07203628030022396,7.833333333333333,2.3959842947608694,2.4,0.5163977794943222
no_jaccard,7.0,30,l2,window,0.7921943452406024,0.06623679318390781,0.7317220238145382,0.07203628030022396,7.833333333333333,2.3959842947608694,2.4,0.5163977794943222
no_jaccard,8.0,30,l2,window,0.7921943452406024,0.06623679318390781,0.7317220238145382,0.07203628030022396,7.833333333333333,2.3959842947608694,2.4,0.5163977794943222
all,7.0,30,l2,window,0.7921943452406024,0.06623679318390781,0.7317220238145382,0.07203628030022396,7.833333333333333,2.3959842947608694,2.4,0.5163977794943222
fit_quality,4.0,30,l2,window,0.7918424734543256,0.06707334554280053,0.7310182802419845,0.07451323318008853,7.833333333333333,2.39598429476087,2.4,0.5163977794943222
fit_quality,3.0,30,l2,window,0.7918424734543256,0.06707334554280053,0.7310182802419845,0.07451323318008853,7.833333333333333,2.39598429476087,2.4,0.5163977794943222
residuals,3.0,30,l2,window,0.7868241374001149,0.07271931002102436,0.7156482748002299,0.09154537898314205,8.5,3.305438840143004,2.3,0.48304589153964794
r2_resid,6.0,30,l2,window,0.7861174781305824,0.11764940685475879,0.7329016229278316,0.13630458940407542,7.833333333333333,4.430533786083752,2.3,0.674948557710553
r2_resid,4.0,30,l2,window,0.7861174781305824,0.11764940685475879,0.7329016229278316,0.13630458940407542,7.833333333333333,4.430533786083752,2.3,0.674948557710553
