channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
all,8.0,20,l2,window,0.8293719810558959,0.06433541539185554,0.7782106287784586,0.08320415512942873,4.4,1.8780530698926836,4.5,0.5270462766947299
no_jaccard,7.0,20,l2,window,0.8167029718093511,0.052327109843011615,0.758272610285369,0.07564712951155943,4.85,1.95416222458628,4.5,0.5270462766947299
no_jaccard,4.0,20,l2,window,0.8167029718093511,0.052327109843011615,0.758272610285369,0.07564712951155943,4.85,1.95416222458628,4.5,0.5270462766947299
no_jaccard,5.0,20,l2,window,0.8167029718093511,0.052327109843011615,0.758272610285369,0.07564712951155943,4.85,1.95416222458628,4.5,0.5270462766947299
no_jaccard,6.0,20,l2,window,0.8167029718093511,0.052327109843011615,0.758272610285369,0.07564712951155943,4.85,1.95416222458628,4.5,0.5270462766947299
no_jaccard,8.0,20,l2,window,0.8167029718093511,0.052327109843011615,0.758272610285369,0.07564712951155943,4.85,1.95416222458628,4.5,0.5270462766947299
fit_quality,3.0,20,l2,window,0.8154602552676714,0.041053541015067384,0.7670205105353429,0.06317835053632508,4.675,1.408308678285174,4.6,0.5163977794943223
all,7.0,20,l2,window,0.813939985279476,0.04995891327677371,0.7747633038922855,0.06839817088998804,4.4625,1.4872723915499362,4.7,0.4830458915396479
r2_resid,3.0,20,l2,window,0.8080662691815534,0.04382945239099834,0.7448992050297736,0.07582580768634054,5.175,1.8672990000413847,4.5,0.5270462766947299
fit_quality,5.0,20,l2,window,0.8057693662332588,0.054236532149142015,0.7308720657998509,0.08241141035193654,5.5,1.845602882529175,4.2,0.632455532033676
no_jaccard,3.0,20,l2,window,0.8030656313145259,0.03810752032161984,0.7679979292957185,0.06637874379124203,4.6,1.3330728912303833,4.8,0.42163702135578424
all,6.0,20,l2,window,0.802260640032127,0.04923845711922697,0.766837946730921,0.07178112621875843,4.6375,1.4970457018185295,4.8,0.42163702135578424
all,3.0,20,l2,window,0.802260640032127,0.04923845711922697,0.766837946730921,0.07178112621875843,4.6375,1.4970457018185295,4.8,0.42163702135578424
all,5.0,20,l2,window,0.802260640032127,0.04923845711922697,0.766837946730921,0.07178112621875843,4.6375,1.4970457018185295,4.8,0.42163702135578424
all,4.0,20,l2,window,0.802260640032127,0.04923845711922697,0.766837946730921,0.07178112621875843,4.6375,1.4970457018185295,4.8,0.42163702135578424
fit_quality,4.0,20,l2,window,0.8000680211410381,0.05177350753626262,0.7431360422820764,0.08235181553672598,5.25,1.7648182153789476,4.4,0.6992058987801011
fit_quality,6.0,20,l2,window,0.7975424505819639,0.06339013474222452,0.7280015678305944,0.08567499714518946,5.520833333333334,1.8716791579676177,4.1,0.737864787372622
residuals,3.0,20,l2,window,0.7941071679243759,0.06610255920798605,0.7229310025154183,0.11967666677586598,5.670833333333333,2.469290552635176,4.3,0.6749485577105528
r2_resid,4.0,20,l2,window,0.7891655321417785,0.05164125018763545,0.7256810642835572,0.08527747397136021,5.6125,2.0038591240126857,4.4,0.6992058987801011
residuals,4.0,20,l2,window,0.7791947116774891,0.06762396709303632,0.6887227566883116,0.10112917872768687,6.416666666666667,2.1622997302540625,4.0,0.6666666666666666
r2_resid,5.0,20,l2,window,0.7780078392585557,0.04388689588195278,0.7184490118504447,0.08286151940748435,5.758333333333333,1.903821692553438,4.3,0.8232726023485646
r2_resid,6.0,20,l2,window,0.776970510987247,0.044353965229290214,0.7069410219744942,0.08900799133901298,6.083333333333333,2.1199558870323134,4.2,0.7888106377466155
